Id,eng,ara
45881, Metamathematical, متعلق بالرياضيات المنطقية
45882, Metamorphic, مسخي
45883, Metamorphism, تحوّل الصخور
45884, Metamorphose, يحوّل بينة الصخر
45885, Metamorphosed, حوّل بينة الصخر
45886, Metamorphoses, تحويلات
45887, Metamorphosing, تحويل
45888, Metamorphosis, التحوّل
45889, Metamorphous, تحوّلي
45890, Metaphor, استعارة
45891, Metaphoric, مَسْخِيّ
45892, Metaphorical, مجازيّ
45893, Metaphorically, مجازيا
45894, Metaphors, استعارة
45895, Metaphosphate, الميتافوسفايت
45896, Metaphysic, غيبي
45897, Metaphysical, غيبي
45898, Metaphysically, بشكل غيبي
45899, Metaphysician, الماورائي
45900, Metaphysics, الميتافيزيقيا
45901, Metastases, الانبثاث: انتقال \\علة\\ الداء أو العامل المسبّب له من مقرّه الأساسي إلى جزء آخر من الجسم كما في السرطان
45902, Metastasis, الإنبثاث: انتقال \\علة\\ الداء أو العامل المسبب له من مقرّه الأساسي إلى جزء آخر من الجسم كما في السرطان
45903, Metatheme, تيمة للتيمات
45904, Metcalf, ميتاكاف
45905, Mete, خصّص
45906, Meted, مخصّص
45907, Meteor, نيزك
45908, Meteoric, نيزكي
45909, Meteorically, بسرعة فائقة كما النيزك
45910, Meteorite, الحجر النيزكي: شهاب يبلغ سطح الأرض من غير أن يتبدّد تبدّدا كاملاً
45911, Meteorites, نيازك
45912, Meteoritic, نيزكي
45913, Meteoritics, علم الشهب أو النيازك
45914, Meteoroid, النيزك الدائر حول الشمس
45915, Meteoroids, النيازك الدائرة حول الشمس
45916, Meteorologic, إرصادي
45917, Meteorological, أرصاديّ
45918, Meteorologically, بالإرصاد الجوي
45919, Meteorologist, الأرصادي
45920, Meteorology, علم الأرصاد الجوية
45921, Meteors, نيازك
45922, Meter, متر
45923, Metered, مقاس
45924, Metering, قياس
45925, Meters, أمتار
45926, Metes, يخصّص
45927, Methacrylate, الميثاكريليت: ملح حمض الميثاكريليك
45928, Methadone, الميثادون: عقار مخدّر
45929, Methane, الميثان
45930, Methanol, ميثانول
45931, Methinks, يبدو لي
45932, Methionine, الميثيونين: حامض أمينيّ يوجد في بعض البروتينات كزلال البيض والخميرة
45933, Method, الطريقة
45934, Methodic, منهجي
45935, Methodical, منهجي
45936, Methodically, بشكل منهجي
45937, Methodicalness, منهجيّة
45938, Methodicly, بشكل منهجي
45939, Methodism, المنهاجية
45940, Methodist, الميثودي
45941, Methodists, الميثوديون
45942, Methodological, منهجيّ
45943, Methodologically, استنادًا إلى علم المنهج
45944, Methodologies, المنهجيات
45945, Methodologists, أشخاص شديدو التمسك بالمذهب أو الطريقة
45946, Methodology, علم المنهج
45947, Methods, الطرق
45948, Methuen, ميتهين - بلدة في شمال شرق ولاية ماساتشوسيتس
45949, Methuselah, ميتهسيلاه - بطريرك إنجيليّ يقال أنه قد عاش 969 سنةً
45950, Methuselahs, رجال طاعنون بالسن
45951, Methyl, الميثيل
45952, Methylated, مميثل
45953, Methylene, الميثيلين: جذر هيدروكربوني ثنائيّ التكافؤ مشتقّ من الميثان
45954, Meticulous, دقيق
45955, Meticulously, بدقة شديدة
45956, Meticulousness, الوسوسة
45957, Metier, الحرفة
45958, Meting, التخصيص
45959, Metre, المتر
45960, Metres, الأمتار
45961, Metric, متري
45962, Metrical, متري
45963, Metrically, بشكل متري
45964, Metrics, ميتريس
45965, Metro, المترو: قطار كهربائي تحت الأرض
45966, Metronome, المِسْرَع
45967, Metronomes, المسرعات
45968, Metronomic, متعلق ببندول الإيقاع
45969, Metronomically, بتناغم مع بندول الإيقاع
45970, Metropolis, العاصمة
45971, Metropolitan, حضري
45972, Metropolitans, حضريون
45973, Metros, قطارات كهربائية تحت الأرض
45974, Mets, ميتس
45975, Mettle, قوّة الشخصية
45976, Mettled, نشط
45977, Mettles, قوّة الشخصية
45978, Mettlesome, نشط
45979, Metzler, ميتزلر
45980, Mew, النورس
45981, Mewed, مميئ
45982, Mewing, الموء
45983, Mewl, إبك
45984, Mewled, مبكي
45985, Mewling, البكاء
45986, Mewls, يبكي
45987, Mews, مجموعة الإسطبلات
45988, Mexican, المكسيكي
45989, Mexicans, المكسيكيون
45990, Mexico, المكسيك
45991, Meyer, مير
45992, Meyers, مييرس
45993, Mezzanine, الطابق الثانوي
45994, Mezzo, متوسّط
45995, Mezzos, الأصوات المعتدلة
45996, Mfm, تشكيل التّردّد المعدّل
45997, MHz, ميغاهيرتز
45998, Mi, بادئة معناها أقل أو أصغر
45999, Miami, ميامي
46000, Miaow, المواء
46001, Miaowed, ماء
46002, Miaowing, الموء
46003, Miaows, المواء
46004, Miasma, بخار العفن
46005, Miasmal, وبائي
46006, Miasmic, وبائي
46007, Mica, حجر البلق
46008, Mice, الفئران
46009, Michael, مايكل
46010, Michaelangelo, ميكلانجيلو
46011, Michaels, مايكلز
46012, Michaelson, ميكلسون
46013, Michel, ميتشل
46014, Michelangelo, ميتشيلانجيلو
46015, Michele, ميشيل
46016, Michelin, ميتشيلن
46017, Michelson, ميتشيلسون
46018, Michigan, مشيغان
46019, Mick, ميك
46020, Mickelson, ميكيلسون
46021, Mickey, ميكي
46022, Mickie, ميكي
46023, Micky, الميكي
46024, Micro, دقيق
46025, Microamp, واحد من المليون أمبير
46026, Microanalysis, التحليل الكيميائي لكمية ضئيلة جداً من المادة
46027, Microanalytic, متعلق بالتحليل الكيميائي لكمية ضئيلة جداً من المادة
46028, Microbe, جرثومة
46029, Microbial, جرثومي
46030, Microbic, جرثومي
46031, Microbicidal, متعلق بمزيل الميكروبات
46032, Microbicide, مبيد الجراثيم
46033, Microbiological, مجهري
46034, Microbiologically, مجهريا
46035, Microbiologist, عالم الأحياء الدقيقة
46036, Microbiology, علم الأحياء الدقيقة
46037, Microchemistry, الكيمياء التي تتعامل مع كمّيّات الموادّ الدّقيقة
46038, Microchip, رقاقة
46039, Microcircuit, دائرة كهربائية دقيقة
46040, Microcircuits, دوائر كهربائية دقيقة
46041, Microcode, التّقنية المستعملة لتنفيذ مجموعة تعليمات وحدة المعالجة
46042, Microcomputer, الحاسبة الصغرى
46043, Microcomputers, الحاسبات الصغرى
46044, Microcosm, العالم الصغير
46045, Microcosmic, المصغّر
46046, Microcosmical, متعلق بـ العالم الصّغير
46047, Microcosms, العالم الصغير
46048, Microeconomic, متعلّق بالأقتصاديات الصغّيرة
46049, Microeconomics, الأقتصاديات الصغّيرة
46050, Microelectronics, علم الألكترونيات الدقيقة
46051, Microfiche, الميكروفيش
46052, Microfilm, الميكروفيلم: فيلم يحمل صوراً فوتوغرافية مصغَّرة عن صفحات كتاب الخ
46053, Microfilmed, أخذ مايكروفيلم عن
46054, Microfilmer, عامل الميكروفيلم
46055, Microfilming, يصوِّر على مايكروفيلم
46056, Microfilms, الميكروفلم
46057, Microform, صور مصغّرة
46058, Microfossils, الأحافير الدقيقة
46059, Microgram, الميكروغرام: جزء من مليون من الغرام
46060, Micrography, التجهير: الفحص بالمجهر
46061, Microinstruction, تعليمة دقيقة
46062, Microinstructions, تعليمات دقيقة
46063, Microjoule, ميكروجول: جزء من مليون من الجول
46064, Micrometeorites, جزيء صغير للغبار الفضائي
46065, Micrometeoritic, متعلق بالجزيء الصغير للغبار الفضائي
46066, Micrometer, الميكرومتر
46067, Micrometers, الميكرومترات
46068, Micromotion, حركة قصيرة المدى
46069, Micron, الميكرون
46070, Micronesia, ماكرونيزيا
46071, Micronesian, الماكروني
46072, Micronesians, الماكرونيون
46073, Microns, الميكرونات
46074, Microorganism, الكائن الحي المجهري
46075, Microorganisms, الكائنات الحيّة المجهرية
46076, Microphone, مكبّر الصوت
46077, Microphones, مكبّرات الصوت
46078, Microphoning, تحويل الموجات الصّوتيّة موجات كهربائيّة
46079, Microphotograph, الصورة المجهرية: صورة صغيرة جدّاً
46080, Microphotographic, متعلق بالصور التي تتطلب مجهر لرؤيتها
46081, Microphotography, التصوير الميكروفيلمي
46082, Microprocessor, معالج دقيق
46083, Microprocessors, معالجات دقيقة
46084, Microprogram, برنامج صغير
46085, Microprogramming, تجزيء التحكم بالكومبيوتر الى خطوات صغيرة
46086, Micros, صغار جداً
46087, Microscope, المجهر
46088, Microscopes, المجاهر
46089, Microscopic, مجهري
46090, Microscopical, مجهري: بالغ الصغر
46091, Microscopically, مجهري
46092, Microscopy, استعمال المجهر
46093, Microsecond, جزء من مليون من الثانية
46094, Microseconds, جزء من مليون من الثانية
46095, Microsoft, مايكروسوفت
46096, Microsomal, متعلق بـ الجزيء الصغير في سيتوبلازم خليّة
46097, Microvolt, جزء من مليون من الفولت
46098, Microvolts, جزء من مليون من الفولت
46099, Microwave, المايكرويف
46100, Microwaves, المايكرويف
46101, Mid, وسط
46102, Midair, جوي
46103, Midas, ميداس - الملك الأسطوريّ لفريجيا
46104, Midband, التردد الأوسط بين مجموعة ترددات
46105, Midday, منتصف النهار
46106, Middays, منتصف الأيام
46107, Middies, الضباط البحريون
46108, Middle, المنتصف
46109, Middlebury, مددلبري
46110, Middled, يضع في الوسط
46111, Middleman, السمسار
46112, Middlemen, السماسرة
46113, Middler, متوسّط
46114, Middles, المنتصفات
46115, Middlesex, ميدلسيكس
46116, Middleton, مددلتون
46117, Middletown, مددلتاون
46118, Middleweight, الوزن المتوسط
46119, Middleweights, أشخاص من الوزن المتوسط لا يزيد على ١٦٠ باوند
46120, Middling, متوسط
46121, Middlingly, بشكل متوسط
46122, Middlings, سلع متوسطة حجماً أو جودةً
46123, Middy, الضابط البحري
46124, Mideast, الشرق الأوسط
46125, Midge, البرغشة
46126, Midges, البراغيش
46127, Midget, القزم
46128, Midgets, الأقزام
46129, Midi, الميدي
46130, Midland, وسط البلاد
46131, Midlander, أوسطي
46132, Midlands, وسط البلاد
46133, Midlife, منتصف العمر
46134, Midmorn, مدمورن
46135, Midmorning, منتصف النهار
46136, Midmost, أوسط
46137, Midnight, منتصف الليل
46138, Midnightly, في منتصف الليل
46139, Midnights, منتصف الليالي
46140, Midpoint, المنتصف
46141, Midpoints, نقاط المنتصف
46142, Midrange, المدى المتوسّط
46143, Midriff, البطن
46144, Midriffs, البطون
46145, Midsection, القسم الوسطي
46146, Midship, وسط السفينة
46147, Midshipman, الضابط البحري
46148, Midshipmen, الضباط البحريون
46149, Midships, في وسط السفينة أو نحو وسطها
46150, Midst, وسط
46151, Midstream, وسط المجرى
46152, Midsts, الأوساط
46153, Midsummer, منتصف الصيف
46154, Midterm, إختبار منتصف الفترة
46155, Midterms, إختبارات منتصف الفترة
46156, Midtone, نغمة متوسطة
46157, Midway, في منتصف الطريق
46158, Midways, أجنحة الملاهي: جانب من معرض الخ مخصص لضروب التسلية البريئة
46159, Midweek, منتصف الأسبوع
46160, Midweekly, في منتصف الأسبوع
46161, Midwest, وسط الغرب
46162, Midwestern, وسط غرب
46163, Midwesterner, مواطن شمال منتصف الولايات المتحدة
46164, Midwesterners, مواطنو شمال منتصف الولايات المتحدة
46165, Midwife, قابلة
46166, Midwifed, وضعت بمساعدة القابلة
46167, Midwifery, التوليد
46168, Midwifes, القابلة
46169, Midwifing, الوضع بمساعدة القابلة
46170, Midwinter, منتصف الشتاء
46171, Midwives, قابلات
46172, Midyear, منتصف السنة
46173, Mied, ميد
46174, Mien, هيئة
46175, Miens, الهيئات
46176, Mies, ميس
46177, Miff, أزعج
46178, Miffed, منزعج
46179, Miffing, الإزعاج
46180, Miffs, يزعج
46181, Mig, الميج
46182, Might, قد
46183, Mightier, أكثر هولا
46184, Mightiest, أقدر
46185, Mightily, بقوّة
46186, Mightiness, الهول
46187, Mights, القدرات
46188, Mighty, هائل
46189, Mignon, مغنون
46190, Migraine, داء الشقيقة
46191, Migraines, أمراض الشقيقة
46192, Migrant, المهاجر
46193, Migrants, المهاجرون
46194, Migrate, هاجر
46195, Migrated, مهاجر
46196, Migrates, يهاجر
46197, Migrating, هجرة
46198, Migration, هجرة
46199, Migrational, اندفاع
46200, Migrations, هجرات
46201, Migratories, مهاجرون
46202, Migratory, مهاجر
46203, MIGs, طائرات الميج
46204, Miguel, ميجيل
46205, Mike, مايك
46206, Mikes, الميكروفونات
46207, Mikhail, ميخائيل
46208, Mikoyan, ميكويان - مصمم الطائرة الروسية الميج
46209, Mil, عسكري
46210, Mila, ميلا
46211, Milage, المسافة بالأميال
46212, Milages, المسافة بالأميال
46213, Milan, ميلان
46214, Milch, حلوب
46215, Mild, معتدل
46216, Milden, خفّف
46217, Milder, أكثر إعتدالا
46218, Mildest, أكثر إعتدالا
46219, Mildew, العفن الفطري
46220, Mildewed, متعفّن
46221, Mildewing, يتعفّن
46222, Mildews, العفن الفطري
46223, Mildewy, متعفّن
46224, Mildly, بشكل معتدل
46225, Mildness, خفّة
46226, Mildred, ميلدريد
46227, Mile, الميل
46228, Mileage, المسافة بالأميال
46229, Mileages, المسافات بالأميال
46230, Miler, ميلير
46231, Miles, أميال
46232, Milestone, المعلم
46233, Milestones, المعالم
46234, Milieu, البيئة
46235, Milieus, البيئات
46236, Militancy, القتال
46237, Militant, مناضل
46238, Militantly, بروح فدائية
46239, Militantness, النضاليّة
46240, Militants, مناضلون
46241, Militaries, الجيوش
46242, Militarily, عسكريا
46243, Militarism, العسكرية
46244, Militarisms, العسكرية
46245, Militarist, خبير عسكري
46246, Militaristic, مشرب بالروح الحربية
46247, Militaristically, بدعم للعسكرية
46248, Militarization, العسكرة
46249, Militarize, عسكر
46250, Militarized, معسكر
46251, Militarizes, يعسكر
46252, Militarizing, العسكرة
46253, Military, الجيش
46254, Militate, ناهض
46255, Militated, مناهض
46256, Militates, يناهض
46257, Militating, المناهضة
46258, Militia, المقاومة الشعبية
46259, Militiamen, جنود الجيش الشعبي
46260, Militias, الجيوش الشعبية
46261, Milk, الحليب
46262, Milked, محلوب
46263, Milker, الحالب
46264, Milkers, الحالبون
46265, Milkier, حليبي
46266, Milkiest, حليبي
46267, Milkiness, الحليبية
46268, Milking, الحلب
46269, Milkmaid, الحلابة
46270, Milkmaids, الحلابات
46271, Milkman, بائع الحليب
46272, Milkmen, باعة الحليب
46273, Milks, يحلب
46274, Milksop, المخنث
46275, Milksops, المخنثون
46276, Milkweed, حشيشة اللبن نبات
46277, Milky, حليبي
46278, Mill, الطاحونة
46279, Millard, ميلارد
46280, Mille, ميل
46281, Milled, مطحون
46282, Millenarian, ألفي: متعلق بألف سنة
46283, Millenarianism, الإيمان بالعصر الألفي السعيد
46284, Millenia, قرون من الزّمن
46285, Millennia, الألفيات
46286, Millennialism, الإيمان بالعصر الألفيّ
46287, Millennium, الألفية
46288, Millepede, أم أربعة وأربعين
46289, Millepedes, أمهات أربعة وأربعين
46290, Miller, طحّان
46291, Millers, طحّانون
46292, Milles, ميليس
46293, Millet, الدخن
46294, Milliamp, جزء من ألف جزء من الأمبير
46295, Milliampere, جزء من ألف جزء من الأمبير
46296, Milliamperes, جزء من ألف جزء من الأمبير
46297, Milliard, المليار
46298, Millidegree, جزء من ألف جزء من الدرجة
46299, Millidegrees, جزء من ألف جزء من الدرجة
46300, Millie, ميلي
46301, Milligram, الملليغرام
46302, Milligrams, الملليغرامات
46303, Millijoule, جزء من ألف جزء من الجول
46304, Millijoules, جزء من ألف جزء من الجول
46305, Millikan, ميليكان
46306, Milliliter, الملليلتر
46307, Milliliters, الملليلترات
46308, Millimeter, الملليمتر
46309, Millimeters, المليمترات
46310, Millimetre, الملليمتر
46311, Milliner, بائع قبعات النساء
46312, Millineries, متاجر قبعات النساء
46313, Milliners, باعة قبعات النساء
46314, Millinery, صناعة قبعات النساء
46315, Milling, الطحن
46316, Million, مليون
46317, Millionaire, المليونير
46318, Millionaires, المليونيرات
46319, Millioned, مضروب في الملايين
46320, Millions, الملايين
46321, Millionth, مليون
46322, Millipede, أم أربعة وأربعين
46323, Millipedes, أمهات أربعة وأربعين
46324, Millisecond, جزء من الألف من الثانية
46325, Milliseconds, جزء من ألف جزء من الثانية
46326, Millisecs, جزء من ألف جزء من الثانية
46327, Millivolt, جزء من ألف جزء من الفولت
46328, Millivoltmeter, مقياس مُدرَّج بالميليفولت
46329, Millivoltmeters, أجهزة قياس مُدرَّجة بالميليفولت
46330, Millivolts, جزء من ألف جزء من الفولت
46331, Milliwatt, جزء من ألف جزء من الواط
46332, Milliwatts, جزء من ألف جزء من الواط
46333, Millpond, بركة الطاحون
46334, Mills, طواحين
46335, Millstone, حجر الرحّى
46336, Millstones, أحجار الرحّى
46337, Millwright, مركب الطواحين
46338, Millwrights, مركبو الطواحين
46339, Milord, الميلورد
46340, Milquetoast, الجبان
46341, Milquetoasts, الجبناء
46342, Milt, لقّح
46343, Milton, ميلتن
46344, Miltonic, ملتونيّ: ذو علاقة بالشاعر الإنكليزي ملتون أو بشعره أو مميِّز لهما
46345, Milwaukee, ميلووكي
46346, MIMD, عمليات مختلفة على بيانات مختلفة Multiple Instruction Multiple Data
46347, Mime, التمثيلية الصامتة
46348, Mime-Type, من نوع تمثيلية صامتة
46349, Mimed, مقلّد
46350, Mimeograph, الناسخة
46351, Mimeographed, نسخ
46352, Mimeographes, ناسخات
46353, Mimeographing, نسخ
46354, Mimeographs, ناسخات
46355, Mimer, مهرِّج
46356, Mimes, تمثيليات صامتة
46357, Mimesis, تقليد
46358, Mimetic, متسّم بالتقليد والمحاكاة
46359, Mimetically, بطريقة ساخرة من طريق التقليد والمحاكاة
46360, Mimetypes, أنواع الملفات
46361, Mimi, ميمي
46362, Mimic, مقلّد
46363, Mimicked, حاكى أو قلّد للتسلية
46364, Mimicking, يقلّد
46365, Mimicries, التقاليد
46366, Mimicry, محاكاة
46367, Mimics, المقلدون
46368, Miming, التقليد
46369, Min, دقيقة
46370, Minaret, المئذنة
46371, Mince, اللحم المفروم
46372, Minced, مثروم
46373, Mincemeat, اللحم مفروم
46374, Mincer, المفرمة
46375, Mincers, المفارم
46376, Minces, اللحوم المفرومة
46377, Mincing, الثرم
46378, Mincingly, بشكل متكلف
46379, Mind, عقل
46380, Mindanao, جزيرة جنوب الفلبين
46381, Minded, متدبّر
46382, Mindedness, ذو عقل
46383, Minder, الحارس
46384, Minders, الحرّاس
46385, Mindful, حريص
46386, Mindfully, بانتباه
46387, Mindfulness, يقظة
46388, Minding, التدبير
46389, Mindless, طائش
46390, Mindlessly, بغفلة
46391, Mindlessness, غفلة
46392, Minds, العقول
46393, Mine, اللغم
46394, Mined, منقّب
46395, Minefield, حقل الألغام
46396, Miner, عامل المنجم
46397, Mineral, المعدن
46398, Mineralize, معدن
46399, Mineralized, ممعدن
46400, Mineralizes, يمعدن
46401, Mineralizing, التمعدن
46402, Minerally, بشكل معدني
46403, Mineralogical, متعلق بعلم المعادن
46404, Mineralogically, متعلق بعلم المعادن
46405, Mineralogies, علوم المعادن
46406, Mineralogist, متخصص بالمعادن
46407, Mineralogists, متخصصون بالمعادن
46408, Mineralogy, علم المعادن
46409, Minerals, المعادن
46410, Miners, عمّال المناجم
46411, Minerva, إلاهة الحكمة عند الرومان
46412, Mines, ألغام
46413, Minestrone, الشوربة
46414, Minesweeper, كاسحة الألغام
46415, Minesweepers, كاسحات الألغام
46416, Ming, مينج
46417, Mingle, إخلط
46418, Mingled, مخلوط
46419, Mingles, يخلط
46420, Mingling, الخلط
46421, Mini, الثوب القصير
46422, Mini-Commander, القائد الصغير
46423, Mini-cruiser, الطرّاد الصغير
46424, Miniature, المصغر
46425, Miniatures, المصغرون
46426, Miniaturization, التصغير
46427, Miniaturizations, التصغير
46428, Miniaturize, صغّر
46429, Miniaturized, مصغّر
46430, Miniaturizes, يصغّر
46431, Miniaturizing, التصغير
46432, Minibike, دراجة صغيرة
46433, Minicartridge, مخزن رصاص صغير
46434, Minicomputer, الحاسبة المتوسّطة
46435, Minicomputers, الحاسبات المتوسّطة
46436, Minidress, الثوب القصير
46437, Minidresses, الثياب القصيرة
46438, Minified, مصغّر
46439, Minifies, يصغّر
46440, Minify, صغّر
46441, Minifying, التصغير
46442, Minim, القطرة
46443, Minima, الحدود الدنيا
46444, Minimal, أقل ما يمكن
46445, Minimalist, الإصلاحي
46446, Minimalists, الإصلاحيون
46447, Minimally, بالحد الأدنى
46448, Minimax, مينيماكس
46449, Minimization, تحقيق الحدّ الأدنى
46450, Minimizations, تحقيق الحدّ الأدنى
46451, Minimize, قلّل
46452, Minimized, مقلّل
46453, Minimizer, شراع صغير
46454, Minimizers, أشرعة صغيرة
46455, Minimizes, يقلّل
46456, Minimizing, التقليل
46457, Minims, نوتة موسيقيّة :: قطرات
46458, Minimum, الحدّ الأدنى
46459, Minimums, الحدود الدنيا
46460, Mining, التعدين
46461, Minion, التابع
46462, Minions, التوابع
46463, Minis, الثياب القصيرة
46464, Miniscule, الحرف الصغير
46465, Miniskirt, الفستان القصير
46466, Minister, الوزير
46467, Ministered, خدم
46468, Ministerial, وزاري
46469, Ministerially, وزاريا
46470, Ministering, يخدم
46471, Ministers, الوزراء
46472, Ministrant, خادم
46473, Ministrants, خدم
46474, Ministration, الخدمة
46475, Ministrations, الخدمات
46476, Ministries, وزارات
46477, Ministry, وزارة
46478, Miniver, فرو أبيض
46479, Minix, مينيكس
46480, Mink, ثعلب الماء
46481, Minks, ثعالب الماء
46482, Minneapolis, ميننيبوليس
46483, Minnesota, مينيسوتا
46484, Minnie, ميني
46485, Minnow, البلمة
46486, Minnows, البلم
46487, Minoan, ذو علاقة بحضارة جزيرة اقريطش
46488, Minor, قاصر
46489, Minored, قاصر
46490, Minoring, التخصص التشعيبي
46491, Minorities, الأقلّيات
46492, Minority, الأقلية
46493, Minors, قاصرون
46494, Minos, مينوس
46495, Minot, مينوت
46496, Minsk, منسك
46497, Minsky, مينسكاي
46498, Minster, الكاتدرائية
46499, Minsters, الكاتدرائيات
46500, Minstrel, المنشد
46501, Minstrels, المنشدون
46502, Minstrelsy, الأشعار الشعبية
46503, Mint, النعناع
46504, Mintage, سكّ العملة
46505, Mintages, سك العملات
46506, Minted, مسكوك
46507, Minter, المخترع، صانع العملة المعدنية
46508, Minting, سكّ النقود
46509, Mints, النعناع
46510, Minuend, المطروح منه
46511, Minuends, المطروح منهم
46512, Minuet, رقصة كلاسيكية
46513, Minuets, رقصات كلاسيكية
46514, Minus, ناقص
46515, Minuscule, حرف صغير
46516, Minuses, النواقص
46517, Minute, دقيق
46518, Minuted, مدوّن
46519, Minutely, بدقة
46520, Minuteman, المواطن الذي يحتاج لدقيقة فقط ليكون مستعداً للقتال
46521, Minutemen, المواطنون الذي يحتاج لدقيقة فقط ليكون مستعداً للقتال
46522, Minuteness, متسم بالاهتمام البالغ بالتفاصيل
46523, Minuter, أدقّ
46524, Minutes, الدقائق
46525, Minutest, أدقّ
46526, Minutiae, التفاصيل
46527, Minuting, التدوين
46528, Minx, المينكس
46529, Miocene, متعلق بالعصر الثلثي الأوسط
46530, Mira, مستنقع
46531, Miracle, المعجزة
46532, Miracles, المعجزات
46533, Miraculous, أعجوبي
46534, Miraculously, بشكل أعجوبي
46535, Miraculousness, صفة عجيبة
46536, Mirage, السراب
46537, Miraged, سراب
46538, Mirages, طائرات الميراج
46539, Miraging, يتوهم
46540, Miranda, ميراندا
46541, Mire, الطين
46542, Mired, متوحّل
46543, Mires, الأطيان
46544, Miriam, ميريام
46545, Mirier, مرايا
46546, Miriest, الأكثر طيناً
46547, Miring, التوحّل
46548, Mirror, مرآة
46549, Mirrored, انعكس
46550, Mirroring, الإنعكاس
46551, Mirrors, المرايا
46552, Mirth, مرح
46553, Mirthfully, بشكل مرح
46554, Mirthless, مرح قليل
46555, Mirthlessly, بحزن
46556, Mirthlessness, الكآبة
46557, Mirths, الأفراح
46558, Miry, موحل
46559, Misadventure, قضاء وقدر
46560, Misadventures, العوارض
46561, Misalign, اصطفّ خطأ
46562, Misaligned, مصطفّ خطأ
46563, Misaligning, اصطفاف خطأ
46564, Misalignment, اصطفاف خطأ
46565, Misaligns, يصطفّ خطأ
46566, Misanthrope, عدو الإنسان
46567, Misanthropes, أعداء الإنسان
46568, Misanthropic, كاره للبشر
46569, Misanthropically, مبغضًا للبشر
46570, Misanthropist, مبغض للبشر
46571, Misanthropists, مبغضون للبشر
46572, Misanthropy, بغض الجنس البشري
46573, Misapplication, سوء الإستعمال
46574, Misapplied, مساء استعمال
46575, Misapplier, ميسابلير
46576, Misapplies, يسيئ استعمال
46577, Misapply, أسيئ استعمال
46578, Misapplying, إساءة استعمال
46579, Misapprehended, مساء فهم
46580, Misapprehending, اساءة فهم
46581, Misapprehends, يسيء الفهم
46582, Misapprehension, إساءة الفهم
46583, Misapprhend, يسيء الفهم
46584, Misappropriate, اختلس
46585, Misappropriated, مختلس
46586, Misappropriates, يختلس
46587, Misappropriating, اختلاس
46588, Misappropriation, الاختلاس
46589, Misbegotten, نغل
46590, Misbehave, يسيء تصرف
46591, Misbehaved, مساء تصرف
46592, Misbehaver, يسيء التصرف
46593, Misbehaves, يسيئ تصرف
46594, Misbehaving, اساءة تصرف
46595, Misbehavior, سوء السلوك
46596, Misbehaviors, سوء السلوك
46597, Misbelief, رأي خاطئ
46598, Misbeliever, الكافر
46599, Misbrand, يخطئ
46600, Misbranded, أخطأ في وضع العلامة التجارية
46601, Misbranding, يخطئ في وضع العلامة التجارية
46602, Misbrands, يخطئ
46603, Misc, متفرقات
46604, Miscalculate, أخطأ حساب
46605, Miscalculated, أخطئ حساب
46606, Miscalculates, يخطئ حساب
46607, Miscalculating, خطأ حساب
46608, Miscalculation, الخطأ في التّقدير
46609, Miscalculations, الأخطاء في التّقدير
46610, Miscall, أهن
46611, Miscalled, مهان
46612, Miscalling, الإهانة
46613, Miscalls, يهين
46614, Miscarriage, الفشل
46615, Miscarriages, الاخفاقات
46616, Miscarried, مجهض
46617, Miscarries, يجهض
46618, Miscarry, أجهض
46619, Miscarrying, الإجهاض
46620, Miscast, ميسكاست
46621, Miscasting, الخطأ في جمع
46622, Miscasts, ميسكاستس
46623, Miscegenation, تمازج الأجناس
46624, Miscegenations, تمازج الأجناس
46625, Miscellaneous, متنوع
46626, Miscellaneously, بشكل متنوع
46627, Miscellaneousness, حالة متنوعة
46628, Miscellanies, المزيج
46629, Miscellany, مزيج
46630, Mischance, سوء الحظّ
46631, Mischief, الإيذاء
46632, Mischievous, مؤذي
46633, Mischievously, بشكل مؤذي
46634, Mischievousness, وضع مؤذ
46635, Miscibility, القابلية للخلط
46636, Miscible, قابل للاختلاط
46637, Misclassification, سوء فهم
46638, Misclassified, أساء تقسيم
46639, Misclassifying, إساءة تقسيم
46640, Miscode, أخطأ التشفير
46641, Miscommunicate, التخاطب الخاطيء او الغير واضح
46642, Miscommunication, سوء الإتّصالات
46643, Misconceive, أسئ فهم
46644, Misconceived, مساء فهم
46645, Misconceives, يسيئ فهم
46646, Misconceiving, إساءة فهم
46647, Misconception, الوهم
46648, Misconceptions, الأوهام
46649, Misconduct, سوء التصرف
46650, Misconstruction, سوء الفهم
46651, Misconstructions, سوء الفهم
46652, Misconstrue, أسئ فهم
46653, Misconstrued, مساء فهم
46654, Misconstrues, يسيئ فهم
46655, Misconstruing, إساءة فهم
46656, Miscount, الخطأ في العدّ
46657, Miscounted, مخطأ تقدير
46658, Miscounting, خطأ تقدير
46659, Miscounts, الأخطاء في العدّ
46660, Miscreant, الفاجر
46661, Miscreants, الفاجرون
46662, Miscue, أخطأ
46663, Miscues, يخطئ
46664, Misdate, أخطأ تأريخ
46665, Misdated, مخطأ تأريخ
46666, Misdates, يخطئ تأريخ
46667, Misdating, خطأ تأريخ
46668, Misdeed, الإثم
46669, Misdeeds, الآثام
46670, Misdemeanant, المتهم بجنحة
46671, Misdemeanants, المتهم بجنحات
46672, Misdemeanor, الجنحة
46673, Misdemeanors, الجنحة
46674, Misdirect, ضلّل
46675, Misdirected, مضلّل
46676, Misdirecting, التضليل
46677, Misdirection, التضليل
